Hasbro,Action Marine Dress Parade Set,2.05,1,G.I. Joe,Timeless Collection,40th Anniversay Edition,Action Marine,Marines,NULL,NULL,2003,NULL,NULL,NULL,Set #11;,NULL,"('Action Marine Dress Parade Set', @OneSixthFigureType, 'Set #11;', 2003, NULL),"
Hasbro,Action Marine Dress Parade Set,NULL,1,G.I. Joe,Timeless Collection,40th Anniversay Edition,Action Marine,Marines,NULL,NULL,2003,NULL,NULL,NULL,Set #11;,NULL,"('Action Marine Dress Parade Set', @OneSixthFigureType, 'Set #11;', 2003, NULL),"
Round 2,Captain Action,3.47,1,Captain Action,NULL,NULL,NULL,Adventure,Comics,NULL,2011,NULL,NULL,NULL,NULL,NULL,"('Captain Action', @OneSixthFigureType, NULL, 2011, NULL),"
Round 2,Captain Action,3.53,1,Captain Action,NULL,NULL,NULL,Adventure,Comics,NULL,2011,NULL,NULL,NULL,NULL,NULL,"('Captain Action', @OneSixthFigureType, NULL, 2011, NULL),"
Round 2,Dr. Evil,3.18,1,Captain Action,NULL,NULL,NULL,Comics,NULL,NULL,2012,NULL,NULL,NULL,NULL,NULL,"('Dr. Evil', @OneSixthFigureType, NULL, 2012, NULL),"
Round 2,Dr. Evil,3.5,1,Captain Action,NULL,NULL,NULL,Comics,NULL,NULL,2012,NULL,NULL,NULL,NULL,NULL,"('Dr. Evil', @OneSixthFigureType, NULL, 2012, NULL),"
Unknown,Miscellaneous Caucasian Male Figure,4.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,"Blue/black ""camo"" with part white top and Tron-line helmet; Packaged ""H.E.R.O.E.S"";",NULL,"('Miscellaneous Caucasian Male Figure', @OneSixthFigureType, 'Blue/black ""camo"" with part white top and Tron-line helmet; Packaged ""H.E.R.O.E.S"";', NULL, NULL),"
Unknown,Miscellaneous Caucasian Male Figure,4.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,"Solid green outfit with cheesy camo at the sleeves and Tron-like helmet; Packaged ""H.E.R.O.E.S"";",NULL,"('Miscellaneous Caucasian Male Figure', @OneSixthFigureType, 'Solid green outfit with cheesy camo at the sleeves and Tron-like helmet; Packaged ""H.E.R.O.E.S"";', NULL, NULL),"
Unknown,Miscellaneous Caucasian Male Figure,4.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,"Green/black ""camo"" with part white top and camo yarmulke.",NULL,"('Miscellaneous Caucasian Male Figure', @OneSixthFigureType, 'Green/black ""camo"" with part white top and camo yarmulke.', NULL, NULL),"
Unknown,Miscellaneous Caucasian Male Figure,4.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,"Blue police-like outfit and blue Tron-like helmet; Packaged ""Lieutenant Extreme.""",NULL,"('Miscellaneous Caucasian Male Figure', @OneSixthFigureType, 'Blue police-like outfit and blue Tron-like helmet; Packaged ""Lieutenant Extreme.""', NULL, NULL),"
Unknown,Miscellaneous Caucasian Male Figure,4.02,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,Nude Dragon brunette;,NULL,"('Miscellaneous Caucasian Male Figure', @OneSixthFigureType, 'Nude Dragon brunette;', NULL, NULL),"
Kenner,Mission Splashdown,3.58,1,G.I. Joe,Timeless Collection,NULL,NULL,Astronaut,NULL,NULL,1998,Toys R Us,NULL,NULL,Space capsule; White spacesuit + jumpsuit; African American figure,NULL,"('Mission Splashdown', @OneSixthFigureType, 'Space capsule; White spacesuit + jumpsuit; African American figure', 1998, NULL),"
Kenner,Mission Splashdown,NULL,1,G.I. Joe,Timeless Collection,NULL,NULL,Astronaut,NULL,NULL,1998,Toys R Us,NULL,NULL,Space capsule; White spacesuit + jumpsuit,NULL,"('Mission Splashdown', @OneSixthFigureType, 'Space capsule; White spacesuit + jumpsuit', 1998, NULL),"
